Dataf,P60,Livello
2023-05-16 01:00:00+00:00,0,0.18
2023-05-16 02:00:00+00:00,0.1,0.19
2023-05-16 03:00:00+00:00,3.6,0.19
2023-05-16 04:00:00+00:00,4.1,0.19
2023-05-16 05:00:00+00:00,5,0.19
2023-05-16 06:00:00+00:00,4.1,0.22
2023-05-16 07:00:00+00:00,6.4,0.85
2023-05-16 08:00:00+00:00,2.4,1.2
2023-05-16 09:00:00+00:00,0.8,1.37
2023-05-16 10:00:00+00:00,3.7,1.29
2023-05-16 11:00:00+00:00,8.3,1.02
2023-05-16 12:00:00+00:00,6,1.01
2023-05-16 13:00:00+00:00,4.6,1.54
2023-05-16 14:00:00+00:00,6.6,1.59
2023-05-16 15:00:00+00:00,4.6,1.47
2023-05-16 16:00:00+00:00,5.5,1.54
2023-05-16 17:00:00+00:00,1.9,1.6
2023-05-16 18:00:00+00:00,2.9,1.58
2023-05-16 19:00:00+00:00,4.8,1.29
2023-05-16 20:00:00+00:00,4.1,1.21
2023-05-16 21:00:00+00:00,6.7,1.41
2023-05-16 22:00:00+00:00,6.3,1.49
2023-05-16 23:00:00+00:00,2.9,1.78
2023-05-17 00:00:00+00:00,0.5,1.75
2023-05-17 01:00:00+00:00,4,1.45
2023-05-17 02:00:00+00:00,9.1,1.15
2023-05-17 03:00:00+00:00,10.7,1.19
2023-05-17 04:00:00+00:00,11.3,1.88
2023-05-17 05:00:00+00:00,8.7,2.17
2023-05-17 06:00:00+00:00,5.7,2.32
2023-05-17 07:00:00+00:00,3.7,2.22
2023-05-17 08:00:00+00:00,1.1,1.94
2023-05-17 09:00:00+00:00,1,1.5
2023-05-17 10:00:00+00:00,1.5,1.16
2023-05-17 11:00:00+00:00,2,1
2023-05-17 12:00:00+00:00,0,1
2023-05-17 13:00:00+00:00,0.7,1.04
2023-05-17 14:00:00+00:00,0,0.89
2023-05-17 15:00:00+00:00,0,0.8
2023-05-17 16:00:00+00:00,0,0.76
2023-05-17 17:00:00+00:00,0,0.7
2023-05-17 18:00:00+00:00,0,0.64
2023-05-17 19:00:00+00:00,0,0.62
2023-05-17 20:00:00+00:00,0,0.58
2023-05-17 21:00:00+00:00,0,0.53
2023-05-17 22:00:00+00:00,0,0.51
2023-05-17 23:00:00+00:00,0,0.49
2023-05-18 00:00:00+00:00,0,0.47